"Date","Days","Open","High","Low","Settle"
952992000000,743,10090,10175,9900,9943
953078400000,744,9970,10310,9885,10280
953164800000,745,10320,10815,10280,10805
953251200000,746,10930,10975,10865,10892
953510400000,749,10875,10955,10875,10955
953596800000,750,10885,11161,10885,11161
953683200000,751,11130,11130,11075,11114
953769600000,752,11065,11390,11065,11367
953856000000,753,11335,11500,11335,11445
954115200000,756,11395,11395,11254,11254
954201600000,757,11210,11360,11190,11205
954288000000,758,11175,11327,11175,11327
954374400000,759,11300,11400,11220,11260
954460800000,760,11300,11355,11213,11213
954720000000,763,11150,11526,11150,11526
954806400000,764,11500,11620,10945,11437
954892800000,765,11360,11410,11283,11297
954979200000,766,11330,11410,11330,11378
955065600000,767,11400,11400,11310,11349
955324800000,770,11355,11515,11355,11445
955411200000,771,11435,11572,11435,11572
955497600000,772,11570,11630,11312,11312
955584000000,773,11340,11360,11144,11144
955670400000,774,11000,11000,10410,10475
955929600000,777,10465,10817,10465,10817
956016000000,778,10775,10983,10775,10983
956102400000,779,10935,10980,10881,10881
956188800000,780,10930,11100,10930,11082
956534400000,784,10985,11108,10985,11108
956620800000,785,11160,11385,11160,11383
956707200000,786,11403,11403,11135,11146
956793600000,787,11130,11130,10930,11034
956880000000,788,11095,11155,10940,10950
957139200000,791,10930,11125,10930,11007
957225600000,792,10987,10987,10915,10915
957312000000,793,10870,10870,10630,10661
957398400000,794,10715,10715,10616,10616
957484800000,795,10665,10763,10550,10763
957744000000,798,10715,10795,10680,10778
957830400000,799,10810,10850,10713,10721
957916800000,800,10665,10665,10485,10511
958003200000,801,10515,10750,10515,10737
958089600000,802,10775,10840,10765,10810
958348800000,805,10800,10993,10800,10993
958435200000,806,11000,11120,11000,11099
958521600000,807,10995,11000,10930,10953
958608000000,808,10930,11000,10930,10932
958694400000,809,10855,10855,10740,10842
958953600000,812,10880,10880,10545,10718
959040000000,813,10745,10745,10595,10623
959126400000,814,10635,10710,10540,10701
959212800000,815,10735,10755,10437,10515
959299200000,816,10530,10555,10440,10468
959644800000,820,10550,10705,10530,10705
959731200000,821,10670,10740,10660,10688
959817600000,822,10720,10830,10720,10809
959904000000,823,10835,11025,10835,10913
960163200000,826,10890,11010,10870,10966
960249600000,827,10955,10955,10858,10901
960336000000,828,10895,11005,10860,10968
960422400000,829,10965,10965,10780,10835
960508800000,830,10880,10960,10735,10783
960768000000,833,10800,10825,10710,10721
960854400000,834,10740,10820,10630,10790
960940800000,835,10800,10890,10775,10858
961027200000,836,10885,10915,10805,10843
961113600000,837,10930,10930,10743,10743
