"Date","Days","Open","High","Low","Settle"
1181779200000,6314,404,414,402.5,409.5
1181865600000,6315,409,423.5,409,419
1182124800000,6318,424.25,428.75,414,416
1182211200000,6319,416.5,417.5,396,396
1182297600000,6320,392,401,388,394.25
1182384000000,6321,397,402,382.5,385
1182470400000,6322,386,387.75,366,367.5
1182729600000,6325,366,367.75,357,357.75
1182816000000,6326,358.75,363.75,356,356.5
1182902400000,6327,356,359,340.75,343.75
1182988800000,6328,344,346.25,338,339.5
1183075200000,6329,340,347.5,323.25,329.5
1183334400000,6332,330,337.5,325,330.5
1183420800000,6333,330.75,330.75,317.25,320
1183593600000,6335,324.75,326.5,320.5,324
1183680000000,6336,323.25,334.5,323.25,334.5
1183939200000,6339,334,334,325.25,332.5
1184025600000,6340,329,339.25,327.25,338
1184112000000,6341,338,338.5,334.5,336
1184198400000,6342,336.25,344,332.5,344
1184284800000,6343,341.75,341.75,338.75,340.5
1184544000000,6346,347,348.25,334.75,334.75
1184630400000,6347,331.5,334.5,317.5,322.5
1184716800000,6348,322.75,328.25,321.5,327
1184803200000,6349,327.5,329.5,316.25,321.25
1184889600000,6350,322,327.5,315.25,318.25
1185148800000,6353,317,317,308.5,310
1185235200000,6354,311.5,316.5,309.5,311.5
1185321600000,6355,311.5,316.5,310.75,311.5
1185408000000,6356,312.25,326,311.5,317.5
1185494400000,6357,318,322.25,315,321
1185753600000,6360,323.5,324.75,313.5,323.5
1185840000000,6361,324.75,326.5,321.5,325.75
1185926400000,6362,327,328,316.75,319
1186012800000,6363,324,328,322.25,324
1186099200000,6364,324,330,322,326.5
1186358400000,6367,323.5,327,316.5,325.75
1186444800000,6368,324.75,335.75,323.5,335.25
1186531200000,6369,334.75,342.75,333.25,341
1186617600000,6370,339.25,342.5,330.75,332.25
1186704000000,6371,331,337,324.75,333
1186963200000,6374,336.5,340.5,330.5,331
1187049600000,6375,331,335,324.25,327.5
1187136000000,6376,327.75,333.5,324.25,328
1187222400000,6377,326.75,326.75,309.5,321.5
1187308800000,6378,320,329.5,317.25,328.5
1187568000000,6381,327,332.5,324.5,331.75
1187654400000,6382,329.75,340.75,329.75,338.5
1187740800000,6383,338,348,337.25,347.5
1187827200000,6384,346.5,353,344,345.25
1187913600000,6385,344.5,345.5,341,341.5
1188172800000,6388,338.5,340.75,323,335.75
1188259200000,6389,334.25,336.5,325.25,327.25
1188345600000,6390,326.25,329.5,321.75,322.75
1188432000000,6391,322.75,331,316,322.75
1188518400000,6392,322.75,330.5,321.25,324
1188864000000,6396,327.5,340.25,324.75,336.75
1188950400000,6397,339.5,339.75,328.25,328.75
1189036800000,6398,329,330.75,321,323.25
1189123200000,6399,323.25,332.25,319.75,331.25
1189382400000,6402,331.25,336.75,326,329.75
1189468800000,6403,329.75,330,322,324.5
1189555200000,6404,323.5,341.75,321.75,339.75
1189641600000,6405,340.5,342,327.5,330.75
1189728000000,6406,330.75,337,329.5,336.5
1189987200000,6409,348.25,354.25,347.75,352.25
1190073600000,6410,351.75,354.25,344.25,352.25
1190160000000,6411,352,358.75,347,358.25
1190246400000,6412,357.5,375.5,357,369.25
1190332800000,6413,369.25,377,367.75,376.5
1190592000000,6416,375.25,380.5,370.5,373.5
